cs_core_requirements,math_core_requirements,science_core_requirements,humanities_core_requirements,humanities_core_requirements,statistics_core_requirements
CS1301,MATH1551,PHYS2211,HIST2211,HIST2212,,MATH3215
CS1331,MATH1552,,,,
CS1332,MATH1554,,,,
